subject,unit,url,description
Cyber Law & Ethics (CS-8004),5,https://www.dropbox.com/s/fe790dbquqtpgno/Unit%205%20-%20Cyber%20Law%20and%20Ethics%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Augmented & Virtual Reality (CS-8004),1,https://www.rgpvnotes.in/not-available.html,Server 1
Augmented & Virtual Reality (CS-8004),1,https://www.rgpvnotes.in/not-available.html,Server 2
Augmented & Virtual Reality (CS-8004),2,https://www.rgpvnotes.in/not-available.html,Server 1
Augmented & Virtual Reality (CS-8004),2,https://www.rgpvnotes.in/not-available.html,Server 2
Augmented & Virtual Reality (CS-8004),3,https://www.rgpvnotes.in/not-available.html,Server 1
Augmented & Virtual Reality (CS-8004),3,https://www.rgpvnotes.in/not-available.html,Server 2
Augmented & Virtual Reality (CS-8004),4,https://www.rgpvnotes.in/not-available.html,Server 1
Augmented & Virtual Reality (CS-8004),4,https://www.rgpvnotes.in/not-available.html,Server 2
Augmented & Virtual Reality (CS-8004),5,https://www.rgpvnotes.in/not-available.html,Server 1
Augmented & Virtual Reality (CS-8004),5,https://www.rgpvnotes.in/not-available.html,Server 2
Advance Computer Networks (CS-8004),1,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211363&authkey=ABvV6vYPvh4G6jo&em=2,Server 1
Advance Computer Networks (CS-8004),1,https://www.dropbox.com/s/7xiau0xnryh2d5i/Unit%205%20-%20Machine%20Learning%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Advance Computer Networks (CS-8004),2,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211361&authkey=AFLCuL8OlgoucHw&em=2,Server 1
Advance Computer Networks (CS-8004),2,https://www.dropbox.com/s/4ydd2agghxllzy2/Unit%202%20-%20Advance%20Computer%20Networks%20-%20www.rgpvnotes.in.pdf?dl=1,Server 2
Advance Computer Networks (CS-8004),3,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211357&authkey=AGDuzTGpRY7dG88&em=2,Server 1
