video_title,video_url,video_views,video_uploaded_on,scrapped_on
Complete Current Affairs 2021 | Top 100 News | All Competitive Exams,https://www.youtube.com/watch?v=1g2IDXaWZys,291K views,8 months ago,2022-09-09 14:12:18.384721
MUST Know Important Laws of India!,https://www.youtube.com/watch?v=K65DEXrR9As,274K views,8 months ago,2022-09-09 14:12:18.384721
November 2021 Monthly Current Affairs | November 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=hj0CYduxeSA,82K views,9 months ago,2022-09-09 14:12:18.384721
Will India 🇮🇳 Ban Cryptocurrency?,https://www.youtube.com/shorts/bOHNg42sK3w,167K views,9 months ago,2022-09-09 14:12:18.384721
Interesting Unknown Facts about Indian Constitution | Constitution Day,https://www.youtube.com/watch?v=uLszt_XrjhY,185K views,9 months ago,2022-09-09 14:12:18.384721
Books on Indian Constitution | Law students 📚,https://www.youtube.com/shorts/U2_m0xmLzsQ,630K views,9 months ago,2022-09-09 14:12:18.384721
Rank of Police Officers in India | Indian Police Service | UPSC | State PSC,https://www.youtube.com/watch?v=HCzNNCHEWgo,213K views,9 months ago,2022-09-09 14:12:18.384721
IAS v. IPS v. IFS | What is the Difference?,https://www.youtube.com/watch?v=RBfp15_Ralg,102K views,9 months ago,2022-09-09 14:12:18.384721
Farm Laws are getting REPEALED! Explained with Full Timeline,https://www.youtube.com/watch?v=x87wMtye4Cs,206K views,9 months ago,2022-09-09 14:12:18.384721
How long is a Life Sentence in India? | IPC | CrPC,https://www.youtube.com/watch?v=_8X3ehj-Y4Q,98K views,9 months ago,2022-09-09 14:12:18.384721
Article vs. Section | What is the Difference?,https://www.youtube.com/watch?v=IOOCnxkTjYk,150K views,9 months ago,2022-09-09 14:12:18.384721
October 2021 Monthly Current Affairs | October 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=BNNQX_4dNzg,71K views,10 months ago,2022-09-09 14:12:18.384721
AIBE Exam XVI 2021 | Full Question Paper with Answer Key,https://www.youtube.com/watch?v=fPYMUCrjzdo,107K views,10 months ago,2022-09-09 14:12:18.384721
Understand Supreme Court of India | Indian Constitution | Article 124-147,https://www.youtube.com/watch?v=v-2dyU0ANAs,425K views,10 months ago,2022-09-09 14:12:18.384721
Are Arrest & Custody the Same? | Police Custody v. Judicial Custody | Criminal Law,https://www.youtube.com/watch?v=5_tKpxLrvpw,126K views,10 months ago,2022-09-09 14:12:18.384721
"Drug Laws & Punishment in India | NDPS Act, 1985 Explained",https://www.youtube.com/watch?v=4Jci5NUeNyY,115K views,10 months ago,2022-09-09 14:12:18.384721
Is Marital Rape a Crime in India? | Crime Against Women | IPC,https://www.youtube.com/watch?v=SfI8Y5fxBPY,113K views,10 months ago,2022-09-09 14:12:18.384721
5 Benefits of Bar Council Registration in India | State Bar Council | AIBE,https://www.youtube.com/watch?v=d6l53YFQCMw,359K views,11 months ago,2022-09-09 14:12:18.384721
How to become a Lawyer and Advocate | Career in Law,https://www.youtube.com/watch?v=dLG_HBfmguU,53K views,11 months ago,2022-09-09 14:12:18.384721
September 2021 Monthly Current Affairs | September 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=eGKuSzhiF5E,45K views,11 months ago,2022-09-09 14:12:18.384721
Divorce (Talaq) Under Muslim Law | Types of Talaq,https://www.youtube.com/watch?v=8jZUjS3ez4Q,103K views,11 months ago,2022-09-09 14:12:18.384721
Sources of Hindu Law | Ancient & Modern Sources | Family Law,https://www.youtube.com/watch?v=ffe3E4MJ-kA,76K views,11 months ago,2022-09-09 14:12:18.384721
How to Crack a Job Interview | How to Get a Job?,https://www.youtube.com/watch?v=r9pgdxIvtEA,43K views,11 months ago,2022-09-09 14:12:18.384721
"OBC Act 2021 Explained, 105th Constitutional Amendment Act | Reservation System",https://www.youtube.com/watch?v=l8baX6PtaAA,530K views,1 year ago,2022-09-09 14:12:18.384721
August 2021 Monthly Current Affairs | August 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=ls9MUKD0_RA,99K views,1 year ago,2022-09-09 14:12:18.384721
Difference between Judgment Decree and Order | Civil Procedure Code,https://www.youtube.com/watch?v=HPRkYVqgo5s,524K views,1 year ago,2022-09-09 14:12:18.384721
Difference between Judge and Magistrate | Indian Judiciary,https://www.youtube.com/watch?v=wcspthKBs3g,512K views,1 year ago,2022-09-09 14:12:18.384721
